company_name,daily_returns
ACM Research,83.72079320585225
AMD,56.56788954909873
AMEC,58.703519644917876
ASE Group,35.637613529164504
ASM International,37.2992661287231
ASML,35.03711385628205
"ASMPT
 (ASM Pacific Technology)",38.65566264552666
AT&amp;S Austria Technologie &amp; Systemtechnik,42.46723842199317
AXT Inc,64.87720230511538
Advantest,44.55018658248173
Aehr Test Systems,90.28483335461459
Aeluma,125.6392679998571
Aixtron,49.72568570496029
Alchip Technologies,59.38926207969037
Allegro MicroSystems,50.91343940466157
Alpha &amp; Omega Semiconductor,54.97100413671635
Ambarella,56.711994617363125
Amkor Technology,48.68459100273267
Amtech Systems,58.805683478194204
Analog Devices,30.025111018839887
Applied Materials,37.65666094911203
Arm Holdings,78.49709786720531
Arteris,77.43533991146758
Astera Labs,90.02140549187509
Atomera,87.85002802057754
Axcelis Technologies,51.48249401884905
BE Semiconductor,41.48924533475037
Bestechnic,56.623438786551624
BrainChip,111.39328431885882
Broadcom,37.30064156135641
CEVA,46.299787046635394
Cambricon Technologies,68.35579239528775
Camtek,58.9388541829458
China Resources Microelectronics,46.31952088237034
ChipMOS Technologies,39.97446175695982
Cirrus Logic,44.22955733495179
Coherent Corp.,47.739889923531244
Cohu,46.06694208290789
Credo Technology,79.51718311185743
Disco Corp.,39.975674534295834
Elmos Semiconductor,42.13789118066176
Entegris,39.57187484674972
Espressif Systems (Shanghai),61.610044979869514
Everspin Technologies,74.1621359832597
FormFactor,48.983849856973066
Formosa Sumco Technology,46.12544292453016
GCT Semiconductor,311.7194916614991
Galaxycore,42.21492324112628
GigaDevice Semiconductor,54.71222791151772
Global Unichip Corp.,47.32893254898125
GlobalFoundries,49.86603498092945
GlobalWafers,44.42608435757936
HANMI Semiconductor,49.6519838567106
Himax,62.63816514914699
Hwatsing Technology,50.640369048524796
IQE plc,61.90129204908488
Ichor Systems,61.81681688792192
Infineon,35.64965195559826
Intel,34.8456749129436
KLA,36.47549864554632
Kalray,84.93716528242878
Kokusai Electric,67.59438391234988
Kulicke and Soffa Industries,40.1808524267141
Lam Research,39.149557856964286
Lasertec,49.32941223071886
Lattice Semiconductor,48.73620172515641
Lite-On Technology,28.090581426996888
MACOM,49.81233972590213
Magnachip,52.363467642557104
Maruwa,42.635312634818064
Marvell Technology,44.97990570074052
MediaTek,35.64064006634775
Melexis NV,34.09310673390794
Microchip Technology,36.55781776986052
Micron Technology,46.09771786606259
Mobix Labs,96.05859773498298
Monolithic Power Systems,42.45201376558586
NAURA Technology Group,51.664265395056304
NVIDIA,45.197616837324226
NXP Semiconductors,40.279576576626134
Nanya Technology,46.799792958762225
National Silicon Industry Group,54.673239141409574
Navitas Semiconductor,125.5731776255111
Nordic Semiconductor,46.15323313443061
Nova Measuring Instruments,37.8449562295115
Novatek Microelectronics,34.749797864716605
ON Semiconductor,45.9317433070148
Onto Innovation,55.49916390981312
PDF Solutions,44.257403731960665
POET Technologies,93.8254094478729
Photronics,41.96335461072419
Pixelworks,74.70038589399108
Power Integrations,37.89055519298906
Powerchip Semiconductor Manufacturing,39.311495086721465
QUALCOMM,34.1445302400242
Qorvo,43.96435531589503
Quicklogic,72.67012056781208
RS Technologies,50.01351631853896
Realtek,35.00627041627873
Renesas Electronics,53.8487527790693
Rohm,35.69839307386659
Rorze Corporation,60.347218251520424
SCREEN Holdings,44.22318478336458
SEALSQ,200.02724884599462
SG Micro,56.583113473659566
SK Hynix,37.29437827954448
SMIC,50.53210403383482
STMicroelectronics,41.66933367274106
Samsung,26.576504130677193
San’an Optoelectronics,46.19826441036372
Semtech,46.677165914660236
Sequans Communications,86.4705281468096
SiTime,80.71508667009986
Silan Microelectronics,49.71439472517076
Silergy,51.177495222626305
Silicon Labs,39.646190202323325
Silicon Motion,42.87435079180052
Siltronic,46.69478252294356
Sino-American Silicon Products,40.60428206318795
SkyWater Technology,96.25126504155674
Skyworks Solutions,40.139185296032565
SmartSens Technology,58.84215412947515
Socionext,63.354666821013915
Soitec,51.790375761193445
Sumco Corporation,46.32771862891602
Synopsys,28.182616951179774
SÜSS MicroTec,48.72871902447819
TOWA Corporation,52.624553180457
TSMC,31.113851545440312
Technoprobe,37.46720224122232
Texas Instruments,28.07170561495191
Tokyo Electron,38.30172953001555
Tower Semiconductor,44.26052689837252
UCT (Ultra Clean Holdings),54.777431776316206
United Microelectronics,35.606147062546306
Valens Semiconductor,68.77608877461425
Vanguard International Semiconductor,37.81944694665109
Veeco,47.27374792374078
VeriSilicon Microelectronics,62.55170559571265
VisEra Technologies,45.789191936975456
Vishay Intertechnology,35.63405965968181
WIN Semiconductors,46.006714558214625
Weebit Nano,99.75058743201528
Wolfspeed,81.258006748167
X-FAB,46.97030943318613
Xperi,53.5228894288233
centrotherm international,82.41907421880664
eMemory Technology,50.34946876755732
inTEST Corporation,49.98872933186031
indie Semiconductor,68.16858219329508
nLIGHT,64.14909831746809
u-blox,39.654305212722946
